course_code,title,description,prerequisites,credit_hours,major,require,year_level
ARTS 160 001,SCULPT & PERFORM,"This studio course will be a place to practice. Through sculptural and performative intervention, students will practice materializing space and place. Space is being defined as immaterial – the thing in-between things. Place as material – the geography of the thing, the location of the immaterial. Within our universal understanding of art, place can be identified in a variety of ways: painting, drawing, photography, etc. Each formal output is the materialization of space. In this course, we will work through the ways in which we can materialize a three-dimensional one. Students will use various technologies and materials including, the artist's body and plaster, to perform ideas and offer an understanding of a lived experience. Studio assignments will be accompanied by lectures, visiting artists workshops and field trips.",None,3,No,No,Freshman
ARTS 165 001,BEGINNING SCULPTURE,"sculptural and performative intervention, students will practice",None,3,No,No,Freshman
ARTS 225 001,BEGINNING DRAWING,materializing space and place. Space is being defined as immaterial –,None,3,No,No,Freshman
ARTS 230 001,COMICS AND SEQUENTIAL ART,the thing in-between things. Place as material – the geography of the,None,3,No,No,Freshman
ARTS 280 001,HISTORY & AESTHETICS OF FILM,"Introduction to the art and aesthetics of film as an artifact produced within certain social contexts. Includes style, narrative, mise-en-scene, editing, sound, and ideology in classical Hollywood cinema, as well as in independent, alternative, nonfiction, and Third World cinemas.",None,4,No,No,Freshman
FILM 180,14 FILMS YOU SHOULD SEE BEFORE YOU GRADUATE FROM RICE UNIVERSITY,"Featuring the important, but less familiar works of American and European directors from the 1930s - 1960s. This class represents an ideal mixture of modernist auteur cinema and shameless viewing pleasure. Cross-list: HART 180.",None,4,No,No,Freshman
FILM 215,MYSTIC CINEMA: KABBALAH IN FILM,"This course explores uses by the film industry of ideas drawn from Jewish mysticism. We will examine themes such as monsters, spirits, numerology and the paranormal, as portrayed in classic film and through to contemporary Hollywood. Emphasis will be placed on the medieval textual and folkloric traditions behind such portrayals. Cross-list: RELI 215. Mutually Exclusive: Cannot register for FILM 215 if student has credit for FILM 114/FSEM 141/RELI 114.",None,3,No,No,Freshman
FILM 218,HISTORY THROUGH FILM IN EAST AND NORTHEAST ASIA,"Can we learn history by analyzing movies? Using documentary and feature films from Asian film culture's beginnings, we view 19th-20th century Chinese, Japanese, and Korean history. Collective in-class film viewing, discussion and reading required. Cross-list: ASIA 218, HIST 218.",None,3,No,No,Freshman
FILM 238,SPECIAL TOPICS,Topics and credit hours vary each semester. Contact department for current semester's topic(s). Repeatable for Credit.,None,1-4,No,No,Freshman
FILM 275,COMICS AND SEQUENTIAL ART,"An introduction to the art of combining words and pictures: diverse applications such as storyboarding for stage and screen, comic books and graphic novels, and serial or multiples in a variety of media all fall under the umbrella of Sequential Art. Through instruction, demos, readings and practice, students will learn the history and implementation of linear visual narratives utilizing the Comics Art Teaching and Study Workshop as a resource. Students in this class will also participate in the construction and establishment of a permanent research center for the study of Comic Book Art within the Department of Visual and Dramatic Arts. This course has limited enrollment. The roster is formatted on the first day class by the instructor, who may allow additional registration for majors. It is necessary to attend the first class meeting to confirm your place on the class roster. Cross-list: ARTS 230.",None,3,No,No,Freshman
FILM 280,HISTORY & AESTHETICS OF FILM,"Introduction to the art and aesthetics of film as an artifact produced within certain social contexts. Includes style, narrative, mise-en-scene, editing, sound, and ideology in classical Hollywood cinema, as well as in independent, alternative, nonfiction, and Third World cinemas. Cross-list: ARTS 280, HART 280.",None,4,No,No,Freshman
FILM 284,NONFICTION FILM,"Introduction to the history and aesthetics of nonfiction film as both a social artifact and as a work of art. Includes discussions of actualities, the city film, the social documentary, surrealist cinema, propaganda, ethnography, the essay film, and the contemporary nonfiction film from around the world. Cross-list: HART 284.",None,4,No,No,Freshman
AAAS 200,INTRO TO AAAS,"An exploration of the origins and development of African Studies and African American Studies. Through a focus on the articulation and resolution of field-changing debates, the course introduces students to methodologies and practices that have led to and that continue to lead to knowing Africa and African-descendent people with earnest regard for the complexity and subtlety that the subjects require.",None,3,No,No,Freshman
AAAS 204,BLACK ART IN AMERICA,"This class examines the history of Black art in America since the early 1900s. What is Black Art? Who are the artists, curators, scholars, and theorists who have asked and answered this question over the decades? Is a Black aesthetic inherently revolutionary and interested in the political lives of black people and their liberation? Or is a Black aesthetic best exemplified by the manipulation of materials, visual composition, and saturation? Or both? We will engage theories of black art and aesthetics that emerged in the 1920s through today to take seriously the question: how does the visual life of blackness matter? In this class we will break through the traditional rhetoric of diversity and representation and discuss how artists over the decades have insisted instead on redistributions of power, radical and speculative material practices, and structural change. It is my priority to make this course on black aesthetics joyous, safe, and accessible to students of all genders, sexualities, and disabilities.",None,3,No,No,Freshman
AAAS 300,WRITING BLACK LIVES,"In this course, students will be reading, reflecting, and dissecting short stories, novels, television scripts, and other works of fiction crafted by artists across the Black diaspora. Students will thoroughly discuss process and intent, with an extensive focus on craft.",None,3,No,No,Freshman
ANTH 324,DOCUMENTARY PRODUCTION,Study of the expressive possibilities of documentary production using digital systems. Space in studio classes is limited. Registration does not guarantee a place in class. The class roster is formulated on the first day of class by the individual instructor.,None,3,No,No,Freshman
ARCH 225,INTRO ARCHITECTURAL THINKING,Introduction to architectural thought. Lectures and discussions focusing on practice and ideas that have exercised a significant influence on the discourse and production of architecture and urbanism.,None,3,No,No,Freshman
ARCH 305,ARCH FOR NON-ARCHITECTS,"This course is designed to increase awareness and appreciation of broad range of architectural issues through lectures, comparative building studies, design exercises, readings, and discussion. Intended for non-majors in architecture, the course will provide students the opportunity to understand the architectural design process through hands-on experience.",None,3,No,No,Freshman
ARCH 311,HOUSTON ARCHITECTURE,This course consists of a series of illustrated lectures and walking tours that describe and analyze the architecture of Houston from the city's founding in 1836 to the present. Characteristic building types and exceptional works of architecture are identified; tours stimulate an awareness of the historical dimension of urban sites.,None,3,No,No,Freshman
ARCH 345,FOUNDATIONS IN ARCH I,Lectures and discussions focusing on significant architectural and urban practices and ideas formulated before 1850.,None,3,No,No,Freshman
